label,name,cluster_annotation_term_set_label,parent_term_label,parent_term_set_label,term_set_order,term_order,cluster_annotation_term_set_name,color_hex_triplet,number_of_cells,description
CS202210140_15,VendAC_14,CCN202210140_CLUS,CS202210140_465,CCN202210140_SUPC,1,1,cluster,#C41C1A,748,Artery-capillary endothelial cell (cluster 14)
CS202210140_16,VendC_15,CCN202210140_CLUS,CS202210140_465,CCN202210140_SUPC,1,2,cluster,#C83121,2746,Capillary endothelial cell (cluster 15)
CS202210140_17,VendVC_16,CCN202210140_CLUS,CS202210140_465,CCN202210140_SUPC,1,3,cluster,#D63814,1046,Vein-capillary endothelial cell (cluster 16)
CS202210140_18,VendV_17,CCN202210140_CLUS,CS202210140_465,CCN202210140_SUPC,1,4,cluster,#CE5412,101,Vein endothelial cell (cluster 17)
CS202210140_19,VendA_18,CCN202210140_CLUS,CS202210140_465,CCN202210140_SUPC,1,5,cluster,#C22E06,451,Artery endothelial cell (cluster 18)
CS202210140_20,Vsmc_19,CCN202210140_CLUS,CS202210140_465,CCN202210140_SUPC,1,6,cluster,#CB432C,229,Vascular smooth muscle cell (cluster 19)
CS202210140_21,Vsmc_20,CCN202210140_CLUS,CS202210140_465,CCN202210140_SUPC,1,7,cluster,#FC0913,845,Vascular smooth muscle cell (cluster 20)
CS202210140_22,Per_21,CCN202210140_CLUS,CS202210140_465,CCN202210140_SUPC,1,8,cluster,#BD3B18,1753,Pericytes (mesoderm) (cluster 21)
CS202210140_23,Per_22,CCN202210140_CLUS,CS202210140_465,CCN202210140_SUPC,1,9,cluster,#D04605,1856,Pericytes (mesoderm) (cluster 22)
CS202210140_24,Per_23,CCN202210140_CLUS,CS202210140_465,CCN202210140_SUPC,1,10,cluster,#E14D1D,84,Pericytes (mesoderm) (cluster 23)
CS202210140_25,Fbl_24,CCN202210140_CLUS,CS202210140_466,CCN202210140_SUPC,1,0,cluster,#C08873,279,Fibroblast (cluster 24)
CS202210140_26,Fbl_25,CCN202210140_CLUS,CS202210140_466,CCN202210140_SUPC,1,1,cluster,#E07A6E,709,Fibroblast (cluster 25)
CS202210140_27,Fbl_26,CCN202210140_CLUS,CS202210140_466,CCN202210140_SUPC,1,2,cluster,#CD722D,1340,Fibroblast (cluster 26)
CS202210140_28,Fbl_27,CCN202210140_CLUS,CS202210140_466,CCN202210140_SUPC,1,3,cluster,#CC7B60,2056,Fibroblast (cluster 27)
CS202210140_29,Fbl_28,CCN202210140_CLUS,CS202210140_466,CCN202210140_SUPC,1,4,cluster,#A7A44C,3767,Fibroblast (cluster 28)
CS202210140_30,Fbl_29,CCN202210140_CLUS,CS202210140_466,CCN202210140_SUPC,1,5,cluster,#E86A52,63,Fibroblast (cluster 29)
CS202210140_31,Fbl_30,CCN202210140_CLUS,CS202210140_466,CCN202210140_SUPC,1,6,cluster,#D87D6C,283,Fibroblast (cluster 30)
CS202210140_32,Fbl_31,CCN202210140_CLUS,CS202210140_466,CCN202210140_SUPC,1,7,cluster,#BE845A,659,Fibroblast (cluster 31)
CS202210140_33,OPC_32,CCN202210140_CLUS,CS202210140_467,CCN202210140_SUPC,1,0,cluster,#1898DE,929,Oligodendrocyte precursor (cluster 32)
CS202210140_34,OPC_33,CCN202210140_CLUS,CS202210140_467,CCN202210140_SUPC,1,1,cluster,#218EE5,48139,Oligodendrocyte precursor (cluster 33)
CS202210140_35,OPC_34,CCN202210140_CLUS,CS202210140_467,CCN202210140_SUPC,1,2,cluster,#0B84BD,31058,Oligodendrocyte precursor (cluster 34)
CS202210140_36,OPC_35,CCN202210140_CLUS,CS202210140_467,CCN202210140_SUPC,1,3,cluster,#1F91EB,23965,Oligodendrocyte precursor (cluster 35)
CS202210140_37,OPC_36,CCN202210140_CLUS,CS202210140_467,CCN202210140_SUPC,1,4,cluster,#1287C2,1643,Oligodendrocyte precursor (cluster 36)
CS202210140_38,COP_37,CCN202210140_CLUS,CS202210140_468,CCN202210140_SUPC,1,0,cluster,#9B960D,796,Committed oligodendrocyte precursor (cluster 37)
CS202210140_39,COP_38,CCN202210140_CLUS,CS202210140_468,CCN202210140_SUPC,1,1,cluster,#629904,779,Committed oligodendrocyte precursor (cluster 38)
CS202210140_40,COP_39,CCN202210140_CLUS,CS202210140_468,CCN202210140_SUPC,1,2,cluster,#909119,178,Committed oligodendrocyte precursor (cluster 39)
CS202210140_41,Oligo_40,CCN202210140_CLUS,CS202210140_469,CCN202210140_SUPC,1,0,cluster,#88A01B,4913,Oligodendrocyte (cluster 40)
CS202210140_42,COP_41,CCN202210140_CLUS,CS202210140_468,CCN202210140_SUPC,1,3,cluster,#81D403,1310,Committed oligodendrocyte precursor (cluster 41)
CS202210140_43,COP_42,CCN202210140_CLUS,CS202210140_468,CCN202210140_SUPC,1,4,cluster,#72871A,1170,Committed oligodendrocyte precursor (cluster 42)
CS202210140_44,COP_43,CCN202210140_CLUS,CS202210140_468,CCN202210140_SUPC,1,5,cluster,#7C9311,417,Committed oligodendrocyte precursor (cluster 43)
CS202210140_45,Oligo_44,CCN202210140_CLUS,CS202210140_469,CCN202210140_SUPC,1,1,cluster,#A79C38,101039,Oligodendrocyte (cluster 44)
CS202210140_46,Oligo_45,CCN202210140_CLUS,CS202210140_469,CCN202210140_SUPC,1,2,cluster,#BBAC34,109325,Oligodendrocyte (cluster 45)
CS202210140_47,Oligo_46,CCN202210140_CLUS,CS202210140_469,CCN202210140_SUPC,1,3,cluster,#9FC940,60616,Oligodendrocyte (cluster 46)
CS202210140_48,Oligo_47,CCN202210140_CLUS,CS202210140_469,CCN202210140_SUPC,1,4,cluster,#93B620,124837,Oligodendrocyte (cluster 47)
CS202210140_49,Oligo_48,CCN202210140_CLUS,CS202210140_469,CCN202210140_SUPC,1,5,cluster,#91D438,2190,Oligodendrocyte (cluster 48)
CS202210140_50,Oligo_49,CCN202210140_CLUS,CS202210140_469,CCN202210140_SUPC,1,6,cluster,#9BDA23,84282,Oligodendrocyte (cluster 49)
CS202210140_51,Oligo_50,CCN202210140_CLUS,CS202210140_469,CCN202210140_SUPC,1,7,cluster,#A9B519,3044,Oligodendrocyte (cluster 50)
CS202210140_52,Bgl_51,CCN202210140_CLUS,CS202210140_493,CCN202210140_SUPC,1,0,cluster,#E7C31F,8041,Bergmann glia (cluster 51)
CS202210140_53,Astro_52,CCN202210140_CLUS,CS202210140_470,CCN202210140_SUPC,1,0,cluster,#BD20C9,25484,Astrocyte (cluster 52)
CS202210140_54,Astro_53,CCN202210140_CLUS,CS202210140_470,CCN202210140_SUPC,1,1,cluster,#B515C6,4803,Astrocyte (cluster 53)
CS202210140_55,Astro_54,CCN202210140_CLUS,CS202210140_470,CCN202210140_SUPC,1,2,cluster,#B85EAF,24168,Astrocyte (cluster 54)
CS202210140_56,Astro_55,CCN202210140_CLUS,CS202210140_470,CCN202210140_SUPC,1,3,cluster,#C053C1,3576,Astrocyte (cluster 55)
CS202210140_57,Astro_56,CCN202210140_CLUS,CS202210140_470,CCN202210140_SUPC,1,4,cluster,#7E37CB,1672,Astrocyte (cluster 56)
CS202210140_58,Astro_57,CCN202210140_CLUS,CS202210140_470,CCN202210140_SUPC,1,5,cluster,#9A21E6,6925,Astrocyte (cluster 57)
CS202210140_59,Astro_58,CCN202210140_CLUS,CS202210140_470,CCN202210140_SUPC,1,6,cluster,#B04CE0,8021,Astrocyte (cluster 58)
CS202210140_60,Astro_59,CCN202210140_CLUS,CS202210140_470,CCN202210140_SUPC,1,7,cluster,#B82DE1,4062,Astrocyte (cluster 59)
CS202210140_61,Astro_60,CCN202210140_CLUS,CS202210140_470,CCN202210140_SUPC,1,8,cluster,#A30FC5,25366,Astrocyte (cluster 60)
CS202210140_62,Astro_61,CCN202210140_CLUS,CS202210140_470,CCN202210140_SUPC,1,9,cluster,#C935B8,13621,Astrocyte (cluster 61)
CS202210140_63,Astro_62,CCN202210140_CLUS,CS202210140_470,CCN202210140_SUPC,1,10,cluster,#BA58B0,24821,Astrocyte (cluster 62)
CS202210140_64,Astro_63,CCN202210140_CLUS,CS202210140_470,CCN202210140_SUPC,1,11,cluster,#9630E5,11325,Astrocyte (cluster 63)
CS202210140_65,Astro_64,CCN202210140_CLUS,CS202210140_470,CCN202210140_SUPC,1,12,cluster,#8A3DE0,1181,Astrocyte (cluster 64)
CS202210140_66,Epen_65,CCN202210140_CLUS,CS202210140_471,CCN202210140_SUPC,1,0,cluster,#E66C7A,88,Ependymal (cluster 65)
CS202210140_67,Epen_66,CCN202210140_CLUS,CS202210140_471,CCN202210140_SUPC,1,1,cluster,#F68796,445,Ependymal (cluster 66)
CS202210140_68,Epen_67,CCN202210140_CLUS,CS202210140_471,CCN202210140_SUPC,1,2,cluster,#FD4788,651,Ependymal (cluster 67)
CS202210140_69,Epen_68,CCN202210140_CLUS,CS202210140_471,CCN202210140_SUPC,1,3,cluster,#E2767A,459,Ependymal (cluster 68)
CS202210140_70,Epen_69,CCN202210140_CLUS,CS202210140_471,CCN202210140_SUPC,1,4,cluster,#E0747F,724,Ependymal (cluster 69)
CS202210140_71,Epen_70,CCN202210140_CLUS,CS202210140_471,CCN202210140_SUPC,1,5,cluster,#D37A99,310,Ependymal (cluster 70)
CS202210140_72,Epen_71,CCN202210140_CLUS,CS202210140_471,CCN202210140_SUPC,1,6,cluster,#F35980,476,Ependymal (cluster 71)
CS202210140_73,Epen_72,CCN202210140_CLUS,CS202210140_471,CCN202210140_SUPC,1,7,cluster,#F67EA6,1027,Ependymal (cluster 72)
CS202210140_74,Epen_73,CCN202210140_CLUS,CS202210140_471,CCN202210140_SUPC,1,8,cluster,#D47DA4,907,Ependymal (cluster 73)
CS202210140_75,Epen_74,CCN202210140_CLUS,CS202210140_471,CCN202210140_SUPC,1,9,cluster,#E07B7C,795,Ependymal (cluster 74)
CS202210140_76,COP_75,CCN202210140_CLUS,CS202210140_468,CCN202210140_SUPC,1,6,cluster,#76A131,70,Committed oligodendrocyte precursor (cluster 75)
CS202210140_77,Chrp_76,CCN202210140_CLUS,CS202210140_472,CCN202210140_SUPC,1,0,cluster,#17461E,101,Choroid plexus (cluster 76)
CS202210140_78,Chrp_77,CCN202210140_CLUS,CS202210140_472,CCN202210140_SUPC,1,1,cluster,#024150,1659,Choroid plexus (cluster 77)
CS202210140_79,Chrp_78,CCN202210140_CLUS,CS202210140_472,CCN202210140_SUPC,1,2,cluster,#136833,2653,Choroid plexus (cluster 78)
CS202210140_80,Chrp_79,CCN202210140_CLUS,CS202210140_472,CCN202210140_SUPC,1,3,cluster,#127238,383,Choroid plexus (cluster 79)
CS202210140_81,Chrp_80,CCN202210140_CLUS,CS202210140_472,CCN202210140_SUPC,1,4,cluster,#0F640D,1347,Choroid plexus (cluster 80)
CS202210140_82,Chrp_81,CCN202210140_CLUS,CS202210140_472,CCN202210140_SUPC,1,5,cluster,#0B6928,1375,Choroid plexus (cluster 81)
CS202210140_83,Chrp_82,CCN202210140_CLUS,CS202210140_472,CCN202210140_SUPC,1,6,cluster,#044B54,171,Choroid plexus (cluster 82)
CS202210140_84,DLNP_83,CCN202210140_CLUS,CS202210140_473,CCN202210140_SUPC,1,0,cluster,#D3040F,476,Deep-layer near-projecting (cluster 83)
CS202210140_85,DLCT6b_84,CCN202210140_CLUS,CS202210140_474,CCN202210140_SUPC,1,0,cluster,#6CC9E2,4474,Deep-layer corticothalamic and 6b (cluster 84)
CS202210140_86,DLNP_85,CCN202210140_CLUS,CS202210140_473,CCN202210140_SUPC,1,1,cluster,#E63B3D,514,Deep-layer near-projecting (cluster 85)
CS202210140_87,DLNP_86,CCN202210140_CLUS,CS202210140_473,CCN202210140_SUPC,1,2,cluster,#C00A19,1508,Deep-layer near-projecting (cluster 86)
CS202210140_88,DLNP_87,CCN202210140_CLUS,CS202210140_473,CCN202210140_SUPC,1,3,cluster,#D80348,1203,Deep-layer near-projecting (cluster 87)
CS202210140_89,DLNP_88,CCN202210140_CLUS,CS202210140_473,CCN202210140_SUPC,1,4,cluster,#D9264F,1548,Deep-layer near-projecting (cluster 88)
CS202210140_90,DLNP_89,CCN202210140_CLUS,CS202210140_473,CCN202210140_SUPC,1,5,cluster,#F1091F,1405,Deep-layer near-projecting (cluster 89)
CS202210140_91,DLNP_90,CCN202210140_CLUS,CS202210140_473,CCN202210140_SUPC,1,6,cluster,#F82C14,1804,Deep-layer near-projecting (cluster 90)
CS202210140_92,DLNP_91,CCN202210140_CLUS,CS202210140_473,CCN202210140_SUPC,1,7,cluster,#C72511,1523,Deep-layer near-projecting (cluster 91)
CS202210140_93,DLNP_92,CCN202210140_CLUS,CS202210140_473,CCN202210140_SUPC,1,8,cluster,#E40A53,2119,Deep-layer near-projecting (cluster 92)
CS202210140_94,DLNP_93,CCN202210140_CLUS,CS202210140_473,CCN202210140_SUPC,1,9,cluster,#D83E24,2217,Deep-layer near-projecting (cluster 93)
CS202210140_95,DLNP_94,CCN202210140_CLUS,CS202210140_473,CCN202210140_SUPC,1,10,cluster,#EE1408,2547,Deep-layer near-projecting (cluster 94)
CS202210140_96,DLNP_95,CCN202210140_CLUS,CS202210140_473,CCN202210140_SUPC,1,11,cluster,#BE2A0F,1307,Deep-layer near-projecting (cluster 95)
CS202210140_97,DLNP_96,CCN202210140_CLUS,CS202210140_473,CCN202210140_SUPC,1,12,cluster,#CE1B05,685,Deep-layer near-projecting (cluster 96)
CS202210140_98,DLCT6b_97,CCN202210140_CLUS,CS202210140_474,CCN202210140_SUPC,1,1,cluster,#76CBDB,287,Deep-layer corticothalamic and 6b (cluster 97)
CS202210140_99,DLCT6b_98,CCN202210140_CLUS,CS202210140_474,CCN202210140_SUPC,1,2,cluster,#42CFDA,4953,Deep-layer corticothalamic and 6b (cluster 98)
CS202210140_100,DLCT6b_99,CCN202210140_CLUS,CS202210140_474,CCN202210140_SUPC,1,3,cluster,#79E3A8,4421,Deep-layer corticothalamic and 6b (cluster 99)
CS202210140_101,DLCT6b_100,CCN202210140_CLUS,CS202210140_474,CCN202210140_SUPC,1,4,cluster,#64D2BF,4900,Deep-layer corticothalamic and 6b (cluster 100)
CS202210140_102,DLCT6b_101,CCN202210140_CLUS,CS202210140_474,CCN202210140_SUPC,1,5,cluster,#3DECE9,2972,Deep-layer corticothalamic and 6b (cluster 101)
CS202210140_103,DLCT6b_102,CCN202210140_CLUS,CS202210140_474,CCN202210140_SUPC,1,6,cluster,#22F6E7,1920,Deep-layer corticothalamic and 6b (cluster 102)
CS202210140_104,DLCT6b_103,CCN202210140_CLUS,CS202210140_474,CCN202210140_SUPC,1,7,cluster,#37C7F0,1268,Deep-layer corticothalamic and 6b (cluster 103)
CS202210140_105,DLCT6b_104,CCN202210140_CLUS,CS202210140_474,CCN202210140_SUPC,1,8,cluster,#5DA5E3,1973,Deep-layer corticothalamic and 6b (cluster 104)
CS202210140_106,DLCT6b_105,CCN202210140_CLUS,CS202210140_474,CCN202210140_SUPC,1,9,cluster,#4DCAF1,4269,Deep-layer corticothalamic and 6b (cluster 105)
CS202210140_107,DLCT6b_106,CCN202210140_CLUS,CS202210140_474,CCN202210140_SUPC,1,10,cluster,#76F4ED,9905,Deep-layer corticothalamic and 6b (cluster 106)
CS202210140_108,DLCT6b_107,CCN202210140_CLUS,CS202210140_474,CCN202210140_SUPC,1,11,cluster,#9CD9F4,998,Deep-layer corticothalamic and 6b (cluster 107)
CS202210140_109,DLCT6b_108,CCN202210140_CLUS,CS202210140_474,CCN202210140_SUPC,1,12,cluster,#A3E9E7,9206,Deep-layer corticothalamic and 6b (cluster 108)
CS202210140_110,DLCT6b_109,CCN202210140_CLUS,CS202210140_474,CCN202210140_SUPC,1,13,cluster,#68E5B9,10646,Deep-layer corticothalamic and 6b (cluster 109)
CS202210140_111,DLCT6b_110,CCN202210140_CLUS,CS202210140_474,CCN202210140_SUPC,1,14,cluster,#48FECB,8324,Deep-layer corticothalamic and 6b (cluster 110)
CS202210140_112,DLCT6b_111,CCN202210140_CLUS,CS202210140_474,CCN202210140_SUPC,1,15,cluster,#1BF7E0,1546,Deep-layer corticothalamic and 6b (cluster 111)
CS202210140_113,DLCT6b_112,CCN202210140_CLUS,CS202210140_474,CCN202210140_SUPC,1,16,cluster,#69F2B7,6334,Deep-layer corticothalamic and 6b (cluster 112)
CS202210140_114,L5ET_113,CCN202210140_CLUS,CS202210140_463,CCN202210140_SUPC,1,4,cluster,#B6F627,630,Cortical layer 5 excitatory neuron (cluster 113)
CS202210140_115,L5ET_114,CCN202210140_CLUS,CS202210140_463,CCN202210140_SUPC,1,5,cluster,#CCCB29,915,Cortical layer 5 excitatory neuron (cluster 114)
CS202210140_116,L5ET_115,CCN202210140_CLUS,CS202210140_475,CCN202210140_SUPC,1,0,cluster,#AFD107,140,Cortical layer 5 excitatory neuron (cluster 115)
CS202210140_117,Misc_116,CCN202210140_CLUS,CS202210140_463,CCN202210140_SUPC,1,6,cluster,#DBD458,1341,Miscellaneous (cluster 116)
CS202210140_118,L5ET_117,CCN202210140_CLUS,CS202210140_463,CCN202210140_SUPC,1,7,cluster,#B6CB18,2655,Cortical layer 5 excitatory neuron (cluster 117)
CS202210140_119,L5ET_118,CCN202210140_CLUS,CS202210140_463,CCN202210140_SUPC,1,8,cluster,#E8DE1B,109,Cortical layer 5 excitatory neuron (cluster 118)
CS202210140_120,CA13_119,CCN202210140_CLUS,CS202210140_475,CCN202210140_SUPC,1,1,cluster,#B9BF2C,6827,Hippocampal CA1-3 (cluster 119)
CS202210140_121,ULIT_120,CCN202210140_CLUS,CS202210140_476,CCN202210140_SUPC,1,0,cluster,#C096C1,21417,Upper-layer intratelencephalic (cluster 120)
CS202210140_122,ULIT_121,CCN202210140_CLUS,CS202210140_476,CCN202210140_SUPC,1,1,cluster,#CEA3A0,36308,Upper-layer intratelencephalic (cluster 121)
CS202210140_123,ULIT_122,CCN202210140_CLUS,CS202210140_476,CCN202210140_SUPC,1,2,cluster,#D6C1B1,29434,Upper-layer intratelencephalic (cluster 122)
CS202210140_124,ULIT_123,CCN202210140_CLUS,CS202210140_476,CCN202210140_SUPC,1,3,cluster,#C0ABA8,55595,Upper-layer intratelencephalic (cluster 123)
CS202210140_125,ULIT_124,CCN202210140_CLUS,CS202210140_476,CCN202210140_SUPC,1,4,cluster,#F0A4E8,28224,Upper-layer intratelencephalic (cluster 124)
CS202210140_126,ULIT_125,CCN202210140_CLUS,CS202210140_476,CCN202210140_SUPC,1,5,cluster,#E3D196,13397,Upper-layer intratelencephalic (cluster 125)
CS202210140_127,ULIT_126,CCN202210140_CLUS,CS202210140_476,CCN202210140_SUPC,1,6,cluster,#D1AAD0,36970,Upper-layer intratelencephalic (cluster 126)
CS202210140_128,ULIT_127,CCN202210140_CLUS,CS202210140_476,CCN202210140_SUPC,1,7,cluster,#EABD8F,10430,Upper-layer intratelencephalic (cluster 127)
CS202210140_129,ULIT_128,CCN202210140_CLUS,CS202210140_476,CCN202210140_SUPC,1,8,cluster,#ECC1C1,10650,Upper-layer intratelencephalic (cluster 128)
CS202210140_130,ULIT_129,CCN202210140_CLUS,CS202210140_476,CCN202210140_SUPC,1,9,cluster,#D5ABE4,46343,Upper-layer intratelencephalic (cluster 129)
CS202210140_131,ULIT_130,CCN202210140_CLUS,CS202210140_476,CCN202210140_SUPC,1,10,cluster,#E8A3D2,25496,Upper-layer intratelencephalic (cluster 130)
CS202210140_132,ULIT_131,CCN202210140_CLUS,CS202210140_476,CCN202210140_SUPC,1,11,cluster,#F3A989,22050,Upper-layer intratelencephalic (cluster 131)
CS202210140_133,Misc_132,CCN202210140_CLUS,CS202210140_463,CCN202210140_SUPC,1,9,cluster,#EACC41,492,Miscellaneous (cluster 132)
CS202210140_134,ULIT_133,CCN202210140_CLUS,CS202210140_476,CCN202210140_SUPC,1,12,cluster,#E88AAF,20086,Upper-layer intratelencephalic (cluster 133)
CS202210140_135,ULIT_134,CCN202210140_CLUS,CS202210140_476,CCN202210140_SUPC,1,13,cluster,#F69D94,12095,Upper-layer intratelencephalic (cluster 134)
CS202210140_136,ULIT_135,CCN202210140_CLUS,CS202210140_476,CCN202210140_SUPC,1,14,cluster,#F3BBEB,28248,Upper-layer intratelencephalic (cluster 135)
CS202210140_137,DLIT_136,CCN202210140_CLUS,CS202210140_477,CCN202210140_SUPC,1,0,cluster,#22652D,152,Deep-layer intratelencephalic (cluster 136)
CS202210140_138,DLIT_137,CCN202210140_CLUS,CS202210140_477,CCN202210140_SUPC,1,1,cluster,#5F791E,17737,Deep-layer intratelencephalic (cluster 137)
CS202210140_139,ULIT_138,CCN202210140_CLUS,CS202210140_476,CCN202210140_SUPC,1,15,cluster,#F5DC97,58263,Upper-layer intratelencephalic (cluster 138)
CS202210140_140,DLIT_139,CCN202210140_CLUS,CS202210140_477,CCN202210140_SUPC,1,2,cluster,#5C3810,24657,Deep-layer intratelencephalic (cluster 139)
CS202210140_141,DLIT_140,CCN202210140_CLUS,CS202210140_477,CCN202210140_SUPC,1,3,cluster,#563822,12455,Deep-layer intratelencephalic (cluster 140)
CS202210140_142,DLIT_141,CCN202210140_CLUS,CS202210140_477,CCN202210140_SUPC,1,4,cluster,#685B2F,9992,Deep-layer intratelencephalic (cluster 141)
CS202210140_143,DLIT_142,CCN202210140_CLUS,CS202210140_477,CCN202210140_SUPC,1,5,cluster,#347622,14326,Deep-layer intratelencephalic (cluster 142)
CS202210140_144,DLIT_143,CCN202210140_CLUS,CS202210140_477,CCN202210140_SUPC,1,6,cluster,#269B04,13468,Deep-layer intratelencephalic (cluster 143)
CS202210140_145,DLIT_144,CCN202210140_CLUS,CS202210140_477,CCN202210140_SUPC,1,7,cluster,#335808,27079,Deep-layer intratelencephalic (cluster 144)
